Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Lip Print Short Sleeve Tee,SKU: swtee23200610077,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/1592805618776249b2ddb00172b6de7afd0e0b143a_thumbnail_900x.webp,4.9,NEW,"[['', '🙂', '4.9'], ['', 'Like', '4.9'], ['', 'Love', '4.9']]",NEW,
SHEIN Letter Graphic Tee,SKU: swtee07200402081,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/28/1588049936e11fb8c4cf7ea1f83e9d2192ed8d1fd1_thumbnail_900x.webp,4.9,4841 Reviews,"[['', 'Pretty basic tee to dress up! Love it!', '4.9'], ['', 'Love this. Super soft & nice color. Fits a bit over sized like I wanted', '4.9'], ['', 'So cute! Great material and good quality. Not super see through. I love it.', '4.9']]",4841 Reviews,
SHEIN Night Racing Car Graphic Tee,SKU: swtee07200331744,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/14/158942186397dc81598d47c7c374e0f7ac63428b39_thumbnail_900x.webp,4.9,2684 Reviews,"[['', 'Exactly as pictured. Love it!', '4.9'], ['', 'Fits very well. Good quality and super soft. If you want to see a more In depth review check out my YouTube @thenanashown', '4.9'], ['', 'Super cute I order L so it was oversized and it worked! (I’m usually S)', '4.9']]",2684 Reviews,
Heathered Knit Cuffed Sleeve Cropped Tee,SKU: RTSH170411003,US$8.00,NULL,https://img.shein.com/images/shein.com/201704/77/14928256246267373027_thumbnail_900x1199.webp,None,2061 Reviews,"[['', 'This is a super soft and wonderful basic grey shirt! I love it! For reference Im 34B (88cm/34.6in), 161cm (5 3"") Tall, waist 67cm (26in) and I ordered a M. The fabric is nice, and the length is ideal for me. Recommended 100%! I took some measurements of the top.', 'None'], ['', ""(ignore my body measurements, they aren't accurate at the time of this review) i'm 97-100 pounds, 5'2 feet, and can typically fit into 32B, 34B, 36B (US size) bras. - just like the photo - comfortable cotton fabric - has decent stretch - the cuff is not stitched into the shirt, it's made where you can roll it up with ease and wear either way i'm not too sure if it would fit well on bigger girls, it might be a bit tight! unless you wanna go for that look, then i could see that being cute. however, shein shirts are returnable, so if you do buy and the one-size doesn't fit how you'd like, no biggie. overall, super versatile and cute. recommend!"", 'None'], ['', 'Now my favourite shirt I own. Such good quality for the price. Soft and has a bit of stretch. In love!', 'None']]",2061 Reviews,
Butterfly & Letter Graphic Oversized Tee,SKU: swtee02200618438,US$17.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/1592815816a7a769145a6240393fd610393dc6c35e_thumbnail_900x.webp,None,9003 Reviews,"[['', 'super cute! it’s very oversized like it’s named so size down if you don’t want it super loose.', 'None'], ['', 'supper cute! it fits well, i have a bigger chest so I ordered a large and it was still oversized but not too big either. I love it!', 'None'], ['', 'Love the tshirts you can wear it so many different ways 😍😍', 'None']]",9003 Reviews,
24 Never Forget Graphic Tee,SKU: swtee03200305299,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/05/1583390877b02382d8f1573a8f14a3969f2c5efe52_thumbnail_900x.webp,4.8,3519 Reviews,"[['', 'Got a size M and I have a bigger bust but I am fairly skinny, it fits good but they run small so size up one for a perfect fit. I LOVE!', '4.8'], ['', 'When I got my package my letters were peeling I’m very disappointed', '4.8'], ['', 'Perfect! RIP Kobe', '4.8']]",3519 Reviews,
Slogan & Graphic Print Tee,SKU: swtee01200313913,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/25/158511149324e59a1c4907ab3022fa778aa6c08c41_thumbnail_900x.webp,4.9,1268 Reviews,"[['', 'I’m usually a medium but I like getting larges in my tee shirts for a looser fit. Great quality tee and the decal is well made. I’m so happy with this! I’m 5’7, 140 lbs give or take, and a 32B/C for reference', '4.9'], ['', 'Really nice T-shirt, a little bit lousy but still a nice product! If you want it perfectly fitting order a size down.', '4.9'], ['', 'Really cute and good quality material.', '4.9']]",1268 Reviews,
Butterfly Print Round Neck Tee,SKU: swtee00200402418,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/02/158582861160c346ffc1014b94e1fe76163635accc_thumbnail_900x.webp,4.9,482 Reviews,"[['', 'Me encanto! Viene un poco pegada pero esta bien', '4.9'], ['', 'The material is just a little see through but its still great. the butterflies are such a pretty color.', '4.9'], ['', 'Love this shirt!! My favorite it’s a little see through but nice soft material', '4.9']]",482 Reviews,
Letter & Car Print Oversized Tee,SKU: swtee03200402395,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/26/1587902794604c09e5ed5c2c8e5a21f8aee8308e10_thumbnail_900x.webp,4.6,723 Reviews,"[['', 'Just what I was expecting. Cute oversized fit! I got a medium just to make sure it fit how I want. It covers my butt. This will be really cute with biker shorts', '4.6'], ['', 'Ordered a medium, but it fits like an extra large more of a sleeping tee now for me', '4.6'], ['', 'I usually wear a XL in tops or tshirts and this fits as if it was that. So if you are smaller that me know that it will be very oversized because this is a S. I love the bright vibrant colors.', '4.6']]",723 Reviews,
Letter Graphic Crew Neck Tee,SKU: swtee01191227607,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/12/31/157777254277c91f1bce8d2c6dc2f393a55286c616_thumbnail_900x.webp,4.8,212 Reviews,"[['', 'I am really satisfied with the quality of this shirt! The material is great and it feels like a regular t shirt you would get from some Macys brands. There was a little bit of a film on the shirt when I first got it. I believe it came from the print on the shirt, but once I washed it, that went away. I am only 52 so the shirt is a little long for me but I will probably just tie it up when I wear it. Its super cute and I would recommend it!', '4.8'], ['', 'love this, recommend, great purchase', '4.8'], ['', 'excuse the long tits... I didnt feel like putting on a bra. I LOVE the saying and the color', '4.8']]",212 Reviews,
Letter Graphic Drop Shoulder Oversized Tee,SKU: swtee44200513493,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/18/1589777944b39075b8079780bcfbed00b5ff1d54c1_thumbnail_900x.webp,4.8,654 Reviews,"[['', 'It is definitely oversized but comes out great if thats the look you are looking for. Im 5’1 so it looks waay too big for me.. so if you’re shorty like me you can probably go down one size.', '4.8'], ['', 'I love this oversized tee the colour is brilliant and the length is perfect', '4.8'], ['', 'I wish I sized down with this, I went bigger just because I wanted a few oversized tees but it’s really really big. The top itself is really comfy and I like the colour. Paired with a nice belt I think it will look fine or even to lounge in.', '4.8']]",654 Reviews,
Figure Print Colorblock Crop Tee,SKU: swtee01200420701,US$6.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/27/1587952651b3564d2961f0e33e8d5a2c582d9c1382_thumbnail_900x.webp,4.7,1824 Reviews,"[['', 'Very nice x', '4.7'], ['', 'Little small and thin but reminds me of yk', '4.7'], ['', 'Love it! super cute but shorter than expected. I’m 5’7 and bought a medium', '4.7']]",1824 Reviews,
SHEIN Men Letter Graphic Striped Tee,SKU: smtop07200310835,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/02/1585791990855757c966df1a33b6d0757a74295780_thumbnail_900x.webp,4.8,1643 Reviews,"[['', 'muy linda y de muy bna calidad, a mi esposo le encanto', '4.8'], ['', 'Love it. Ha can’t tell what it says but a rad shirt', '4.8'], ['', 'yes.. i know i’m a chick but i love this!! super comfy and perfect for wearing over my swimsuit', '4.8']]",1643 Reviews,
Slogan Graphic Ringer Tee,SKU: RTSH170517301,US$5.00,NULL,https://img.ltwebstatic.com/images/pi/201706/61/14982048650572628801_thumbnail_900x.webp,None,3702 Reviews,"[['', 'love it!', 'None'], ['', 'The quality is poor, gonna return it.', 'None'], ['', 'Looks like the picture. I usually wear a S but a M fit just fine. So I would suggest to go for one size up', 'None']]",3702 Reviews,
Dragon Print Drop Shoulder Tee,SKU: swtee03200409050,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/26/1587902775a53e267aad38bf209173ba66b34a309f_thumbnail_900x.webp,None,1681 Reviews,"[['', 'Love this top. Has an over sized fit but it’s how I like it.', 'None'], ['', 'This is an oversized shirt so I got a small and it ofc is still huge. But I love ittt. This shirt is ridiculously stretchy and soft. It’s not that silk material. It’s cotton. Not too thick. In love.', 'None'], ['', 'OVERSIZE TEES FOR THE WIN!', 'None']]",1681 Reviews,
SHEIN California West Coast Graphic Cropped Tee,SKU: swtee07200518381,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/05/159133588772df6c71461157ecbc622cae5e34788b_thumbnail_900x.webp,4.9,162 Reviews,"[['', 'so nice. love this alot really comfy great material 10 out of 10', '4.9'], ['', 'Lovely comfortable top', '4.9'], ['', 'A little big but nice top would recommend', '4.9']]",162 Reviews,
Letter Graphic Short Sleeve Tee,SKU: swtee01200323722,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/07/15862237047751cccdc957df05b7c33cef7cf87582_thumbnail_900x.webp,4.8,1175 Reviews,"[['', 'A bit loose but looks super cute and it’s really comfy', '4.8'], ['', 'good size', '4.8'], ['', 'so cute and great quality!! definitely buying more products!!', '4.8']]",1175 Reviews,
Tie Dye Butterfly Embroidery Crop Tee,SKU: swtee03200504790,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/08/15889045900362baa1fbb026cf8f866598c80d5b41_thumbnail_900x.webp,4.9,2186 Reviews,"[['', 'Did not think it was cropped but soft and great colors the butterfly is cute', '4.9'], ['', 'حبيته مرة ويناسب الصيف 💗 ولونه احلى من الصورة الي صورتها مع تصوير الجوال ما يبن لونه بالحقيقة وتصوير الجوال يخليه مبين فاتح مرة ، انصحكم تطلبونه', '4.9'], ['', 'I love this!! I can’t stress it enough. It’s SO soft and the butterfly looks so cute. I want to order this in ever color if it were available!!!', '4.9']]",2186 Reviews,
Sunflower Print Round Neck Tee,SKU: swtee03200313546,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/25/1585101132fdefea40ea04a239c998eb948c6a448f_thumbnail_900x.webp,4.8,6069 Reviews,"[['', 'Fits perfectly, I’m not the smallest of people, I have a size 36DD breast and this fits amazingly with space as well. Love the colour and texture! Great for summer!!', '4.8'], ['', 'Fit perfectly, looks exactly like picture. The quality of fabric is okay but the screen on the tee feels really cheap. Im pretty sure it will fade very quickly', '4.8'], ['', 'Cute casual top', '4.8']]",6069 Reviews,
Tropical Palm Graphic Tee,SKU: swtee03190605982,US$9.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/06/05/15597201004096304705_thumbnail_900x1199.webp,4.8,2350 Reviews,"[['', 'So cute!', '4.8'], ['', 'love this shirt! I had gotten complements the first time I wore it out. Good material and mine isnt see through or thin like Ive read on other reviews. mine is actually a thick material t-shirt. I bought a large and its true to size!', '4.8'], ['', 'This shirt is so fun! It’s bright and definitely a summer shirt! I got a medium, it’s light and airy and looks great with a pair of jeans! Get ittt!', '4.8']]",2350 Reviews,
Checker Plaid Colorblock Crop Tee,SKU: swtee03200610578,US$7.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/10/1591787295aa8891a856fb7e1b578ffb8b1d7801f8_thumbnail_900x.webp,4.8,328 Reviews,"[['', 'I love this top it is sooooooooooooooo cute and matches with everything', '4.8'], ['', 'nice material , good size', '4.8'], ['', 'fits great', '4.8']]",328 Reviews,
Tie Dye Letter Graphic Tee,SKU: rwtee01190318317,US$9.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/03/15/15526292104000365409_thumbnail_900x1199.webp,None,2731 Reviews,"[['', 'Such a cute t-shirt. definitely a good purchase', 'None'], ['', 'I ordered a large so it’d be baggy but it fit like a regular T-shirt so I just wish it was more oversized. But overall a good material and looks pretty much the same as the picture maybe a little less vibrant.', 'None'], ['', 'Gorgeous and soft material', 'None']]",2731 Reviews,
Striped Polo Neck Crop Tee,SKU: swtee00191125348,US$15.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/11/25/157466293427832d72a38ee49ee141557b5adab163_thumbnail_900x.webp,4.8,1507 Reviews,"[['', 'Fit Good Long Sleeves Crop..', '4.8'], ['', 'love it great material and length', '4.8'], ['', 'Pretty cropped more than I expected if I’m being honest. Material is pretty thin as well and I’m sure if you wore a black or colored bra it would show. I’ll more than likely wear some high waisted jeans or sweatpants that won’t show my stomach as they do in the picture.', '4.8']]",1507 Reviews,
USA Graphic Boxy Tee,SKU: RTSH170309107,US$6.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/03/1578040079756ca4166f85720f10b284a672fb4826_thumbnail_900x.webp,None,9999+ Reviews,"[['', 'i love it!! the material is soft and the quality is great. the colors aren’t faded at all and are vibrant! it does smell weird tho so i totally recommend washing before wearing :)', 'None'], ['', 'I LOVE this crop tee! I can’t wait to wear it more', 'None'], ['', 'Cute shirt. Nice material. Height: 5’2 weight: 138lbs bust size: 32D', 'None']]",9999+ Reviews,
SHEIN Stronger Together Slogan Graphic Tee,SKU: swtee07200628564,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/07/03/15937457552f39ed02dad81093f4fc3bd80686a182_thumbnail_900x.webp,5.0,NEW,"[['', 'Perfect fit. Would recommend a size up, the material is a little tight.', '5.0'], ['', 'Super cute!', '5.0']]",NEW,
Sunflower & Letter Graphic Tee,SKU: swtee23200522799,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/15911580022c21fc65e2f20bb71d4a43dfc88f5277_thumbnail_900x.webp,4.9,1370 Reviews,"[['', 'love it', '4.9'], ['', 'Fit just right!!', '4.9'], ['', 'So pretty in person, sizing is perfect, love it !', '4.9']]",1370 Reviews,
SHEIN Paris Graphic Short Sleeve Tee,SKU: swtee07190312169,US$9.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/03/29/15538523562599072616_thumbnail_900x1199.webp,None,9999+ Reviews,"[['', 'its a good shirt to wear. it is comfy, good material, love the color and matches with every outfit.', 'None'], ['', 'My first order with SHEIN and dint need to send a single item back! My order arrived to the UK a week and a half earlier than expected and delivered with Royal Mail! Just make sure to read reviews! This top is amazing quality I’m an Xs I wanted it to be more oversized so got a small, could’ve done with a medium but that’s just for how I want to style it! It’s suchhhhh good quality genuinely love this and the colour is beaut! 10/10.', 'None'], ['', 'Wow the fabric is amazing. Very cool and stretchy. Like f21, zara, and h&m quality. I DO RECOMMEND!!', 'None']]",9999+ Reviews,
Leopard And Figure Graphic Tee,SKU: swtee03200408456,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/15/1586924381f00b8fddb97e590ad90a52e5e07e7d63_thumbnail_900x.webp,4.9,1297 Reviews,"[['', 'Happy with t shirt, great fit', '4.9'], ['', 'take one size smaller and never ever wash this material with anything else even whites .. it goes yellow 😔', '4.9'], ['', 'New favorite tshirt', '4.9']]",1297 Reviews,
Drop Shoulder Slogan Graphic Longline Tee,SKU: swtee04200615367,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/15/15922225771460eaa4feb57b13b33bdc8ed4481278_thumbnail_900x.webp,None,395 Reviews,"[['', 'BIGGGG! T shirt dress, love it!', 'None'], ['', 'very true to size', 'None'], ['', 'I got a medium and it’s pretty big so it is true to size but if you want it baggy but not SUPER baggy def go size down', 'None']]",395 Reviews,
Butterfly & Letter Graphic Oversized Tee,SKU: swtee03200527804,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/15/1592187067f9220bac477a335ae05be1ceaa3e031b_thumbnail_900x.webp,4.8,441 Reviews,"[['', 'Really good. The print wasn’t the best and is easy to come off.', '4.8'], ['', 'love this loads favourite oversized tee ive got. the material is not as comfy as some others but it is not thin like the others so thats a plus. its simple but its beautiful i wil be wearing this a lot.', '4.8'], ['', 'i got a Large cuz i love baggy shirts and it’s the best :D', '4.8']]",441 Reviews,
Graphic Print Tee,SKU: rtsh170921120,US$8.00,NULL,https://img.ltwebstatic.com/images/pi/201709/02/15058973523606004947_thumbnail_900x.webp,None,7744 Reviews,"[['', 'Oh god. I’m so happy that this isn’t see through. It’s actually not see through at all! The graphic is so cute, it looks exactly like the photo. I’m usually size small or medium but I sized up because I like oversized stuff but it’s actually not even that big, it fits perfectly to me so I highly highly recommend sizing up one or if u want it kinda big 2 sizes up. I really needed a white tshirt and this is perfect!', 'None'], ['', 'Bacanisimo una vaina bien!! Me gusta que no se transparente y que es suave. Cómprenla, les puede servir para casi todo outfit', 'None'], ['', 'really good quality, love this! the design is so pretty, really happy with it!', 'None']]",7744 Reviews,
Letter Graphic Crew Neck Tee,SKU: swtee03200519004,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/19/158987162575f816b87da25bfb4cca154f8ed1b72b_thumbnail_900x.webp,4.9,331 Reviews,"[['', 'I sized up because I love the loose comfortable feeling. shirt material is super soft and not see through', '4.9'], ['', 'i love this shirt', '4.9'], ['', 'Proud 90s baby right here', '4.9']]",331 Reviews,
Letter Graphic Short Sleeve Tee,SKU: swtee01200323686,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/13/158676732554b9f96cb088bd9ce7f71e5853aca137_thumbnail_900x.webp,4.9,604 Reviews,"[['', 'Love this shirt!', '4.9'], ['', 'The size is great but when I washed it the words messed up.', '4.9'], ['', 'Great fit. Material a bit itchy.', '4.9']]",604 Reviews,
Sun And Geo Oversize Tee,SKU: swtee03200522173,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/26/1590490838017c6ba68d224e0558e3c8e725eb42d4_thumbnail_900x.webp,4.8,1375 Reviews,"[['', 'don’t size up it’s already oversized enough! love it', '4.8'], ['', 'Soooo pretty and big like I wanted', '4.8'], ['', 'Looks exactly like the picture. But the material is a little itchy even after washing it. I got a Large and its great for over sized tee shirts.', '4.8'], ['', '', '4.8'], ['', '', '4.8'], ['', '', '4.8']]",1375 Reviews,
Car And Slogan Graphic Drop Shoulder Oversize Tee,SKU: swtee03200409369,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/26/1587902780b2296a9fb084fbd4cda4fc4b5647600e_thumbnail_900x.webp,4.6,965 Reviews,"[['', 'A dupe for pacsun shirt', '4.6'], ['', 'This shirt is soooooo good and it looks just like brandy and it’s comfy asf it’ll look so good on mom jeans and Nike Air Force 1’s!!!!', '4.6'], ['', 'the PERFECT brandy dupe. its slightly see through and the sleeves are very long but thats okay bc its supposed to be oversized anyway :) the print is bright, just like the photo, and the tshirt is so comfy. (ignore size info but height)', '4.6']]",965 Reviews,
SHEIN Car & Slogan Graphic Tee,SKU: swtee07200608030,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/08/1591608632296b5aa0c0fe038716b3602212f6b43c_thumbnail_900x.webp,5.0,NEW,"[['', 'I loved this one 🥰🥰🥰🥰🥰', '5.0'], ['', 'Really cute! Nice material, doesnt look cheap.', '5.0'], ['', 'Super cute top, bought for my 12 yr old daughter...good quality for the price! :)', '5.0']]",NEW,
Sunflower & Slogan Graphic Tee,SKU: swtee03200326683,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/31/158562116764cf55bb818c4d5130efac9ebe53418a_thumbnail_900x.webp,4.9,904 Reviews,"[['', 'my mom is my sunshine', '4.9'], ['', 'I like it', '4.9'], ['', 'I am 128lbs, bra size: 34b, height: 5’5, waist: 65cm. I like the material, it is soft. I like that I can use it as a crop top or a regular shirt.', '4.9']]",904 Reviews,
Tie Dye Drop Shoulder Oversized Tee,SKU: swtee01200413168,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/29/15881466555c1415b76b9fa8d404eb3b0b742e7a32_thumbnail_900x.webp,None,5046 Reviews,"[['', 'Keep in mind this shirt is oversized, because it is huge! This isn’t a problem for me because it is what I wanted, but its soooo soft.', 'None'], ['', 'READ THE REVIEW BEFORE YOU BUY. The description SAYS OVERSIZED TEE. so that’s what you will get. Literally :). I read the reviews and went with a medium. I’m 5’6 and weigh about 140 lbs. I put that the top fits TRUE TO SIZE because it clearly says OVERSIZED. So be aware when choosing your size. If you want a comfy fit. Order your regular size but if you want a more “fitted” look then order a size smaller or maybe even TWO SIZES smaller. The color is really pretty. The color looks a little bit more vibrant in the picture with the model but it’s probably because of the lighting. I’m still satisfied with my order. The material is very soft and it’s not too thin or too thick. It will looks great with some leggings or biker shorts during the summer or even with regular denim shorts. If you decide to order this top I wouldn’t recommend machine drying I would let it air dry so that the material doesn’t get ruined. I would definitely recommend. :)', 'None'], ['', 'READ THE REVIEW BEFORE YOU BUY. The description SAYS OVERSIZED TEE. so that’s what you will get. Literally :). I read the reviews and went with a medium. I’m 5’6 and weigh about 140 lbs. I put that the top fits TRUE TO SIZE because it clearly says OVERSIZED. So be aware when choosing your size. If you want a comfy fit. Order your regular size but if you want a more “fitted” look then order a size smaller or maybe even TWO SIZES smaller. The color is really pretty. The color looks a little bit more vibrant in the picture with the model but it’s probably because of the lighting. I’m still satisfied with my order. The material is very soft and it’s not too thin or too thick. It will looks great with some leggings or biker shorts during the summer or even with regular denim shorts. If you decide to order this top I wouldn’t recommend machine drying I would let it air dry so that the material doesn’t get ruined. I would definitely recommend. :)', 'None']]",5046 Reviews,
Letter Graphic Round Neck Tee,SKU: swtee03200507378,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/18/158977520802bb203e5786ed733bcfd6055bf7ba5e_thumbnail_900x.webp,4.9,1349 Reviews,"[['', 'It’s a bit see through but that’s okay. It’s not cotton material but I don’t mind it. It’s really soft. It’s so cute. I’ve been wanting to find a cute mama shirt that I can wear in honor of being a mama to my lil boy !', '4.9'], ['', 'This one was super cute I loved it ! Very see through tho but I don’t mind wearing a tank top underneath!', '4.9'], ['', 'Little big', '4.9']]",1349 Reviews,
SHEIN Men Cartoon Graphic Tee,SKU: smtop07200316898,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/31/1585622320ebf39e14d15fe6bf8719c4399006da2a_thumbnail_900x.webp,4.9,1310 Reviews,"[['', 'احنا حالياً في فترة كورونا، فـ طلبته بتاريخ ١٢ ابريل ووصلني بتاريخ ٢٤ ابريل ويعتبر ممتاز وشركة الشحن ممتازه وصلتني الشحنه وصندوقها بخير وسليم نجي للقطعه شريتها لزوجي، قماشها حلو قطني، عالمقاس بالضبط واللون نفس الصوره شريته بسعر ٣٢.٧٨ ريال بعد الخصم', '4.9'], ['', 'Great quality, true to size', '4.9'], ['', 'It is a little long', '4.9']]",1310 Reviews,
Raglan Sleeve Letter Graphic Crop Tee,SKU: swtee04200318117,US$6.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/23/158494736486bbbb3b43b941ccce8c7b48340d5027_thumbnail_900x.webp,4.8,1096 Reviews,"[['', 'Small asf and see through disappointing', '4.8'], ['', 'Very cute shirt I did a haul with it. My YouTube is bad Barbies trap and my Instagram is : Bhadbharbie.__', '4.8'], ['', 'this cute little crop too gives me oldie vibes cuteee can’t wait to receive it taking a while due to covid 19 🙄🙄 but size XS// ignore picture', '4.8']]",1096 Reviews,
SHEIN Letter and Angel Print Raglan Sleeve Tee,SKU: swtee07200427002,US$6.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/28/158805268895092554d17910b6a10c8a9417f525af_thumbnail_900x.webp,4.8,1682 Reviews,"[['', 'Really cute! Not see through. Dupe of Bella Heaven Sent from Brandy, but it’s purple. Really comfy and soft too, ITS AMAZINGG :)', '4.8'], ['', 'this shirt is amazing its the perfect brandy Melville dupe. the only difference is that its smooth and not ripped', '4.8'], ['', 'perfectly true to size, so incredibly soft and fitting! if you are thinking of getting this hear me out... GET IT you will love it:)', '4.8']]",1682 Reviews,
Butterfly & Clock Print Oversized Tee,SKU: swtee04200505024,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/20/15899397085952e434244ba657cbb7ad5e5d504c65_thumbnail_900x.webp,4.7,1120 Reviews,"[['', 'Bad material. And it is really big for me', '4.7'], ['', 'very large shirt size down', '4.7'], ['', 'This shirt is so big i recommend sizing down 2 sizes. the quality is good and not see through but very big', '4.7']]",1120 Reviews,
Slogan Graphic Tee,SKU: tee180518314,US$6.00,NULL,https://img.ltwebstatic.com/images2_pi/2018/05/17/15265430712309591536_thumbnail_900x1199.webp,4.7,5189 Reviews,"[['', 'Love this shirt. Really great purchase', '4.7'], ['', 'I love it', '4.7'], ['', 'Love the t-shirt but glad I sized up. I’m normally a small / 10-12 AU sizing but got the XL thanks to previous commenters and it’s perfect, slightly loose but still flattering. Fabric light but good quality for the price.', '4.7']]",5189 Reviews,
Drop Shoulder Letter & Heart Print Longline Tee,SKU: swtee04200602922,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/04/15912504508ecae18fe31ff84c061ca7194c739491_thumbnail_900x.webp,4.8,NEW,"[['', 'really cute graphic but it just doesn’t look good on me lol. this is a xs and im 5’5 so its super oversized. but if u can rock big tees this would be cute', '4.8'], ['', 'I love it so much but it’s too big ): i was hoping to get a smaller size but every time i look they’re sold out !!', '4.8'], ['', 'Get ur normal size and size down if u want it to not be huge. It’s big but I love big tshirts. Definitely should’ve gotten small but I think it was sold out in small when I bought it. The colors are popping in person', '4.8']]",NEW,
Sunflower And Slogan Graphic Tee,SKU: swtee03191226364,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/12/28/1577511074aef1e78b63128cb24917ef094beade87_thumbnail_900x.webp,None,6740 Reviews,"[['', 'الله يسعد كل من حط على تعليقي لايك ويرزقه مايتمنى ولا يوريه مكروه فيه حياته يارب 👍🏻👍🏻👍🏻👍🏻', 'None'], ['', 'I’m usually medium, but I ordered large. When I open the bag it’s the right size, but after I washed it and tried it on, it shrank and looked like a medium size. It’s still a perfect fit, so I didn’t mind. Next time I will order XL on shirt so it will still be a little loose after I wash it.', 'None'], ['', 'Super cute tee, baggy but flattering. Graphic is plasticky', 'None']]",6740 Reviews,
Car & Letter Graphic Boyfriend Tee,SKU: swtee03200422966,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/24/15877022268a6b4b39402795d476499795bafeb674_thumbnail_900x.webp,None,361 Reviews,"[['', 'This is so cute it’s way bigger than i expected but hopefully it shrinks in the washer', 'None'], ['', 'Haven’t gotten the item yet, however based on the reviews, the quality should be good and the fit is perfect in terms of the style I am assuming you are going for when buying this.', 'None'], ['', 'Great quality and thick material really long but i’m short so...', 'None']]",361 Reviews,
Drop Shoulder Mouth Print Longline Tee,SKU: swtee04200617431,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/18/1592449481119748b097f9fabdcc33c4f0d992b1c1_thumbnail_900x.webp,4.9,NEW,"[['', 'Love this shirt! Won’t take it off lol. Such a great t shirt just a simple picture and so comfortable! Big and breezy', '4.9'], ['', 'I’m just trying to get my points😂... but umm it’s cute!', '4.9'], ['', 'Definitely love the shirt I’m 5ft and it pretty much fit exactly like the picture showed I definitely would size down though from your typical size. I normally wear a small but an extra small fit perfectly.', '4.9']]",NEW,
SHEIN Embroidery Pineapple Striped Tee,SKU: swtee07200609499,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/20/15926471556cc368df4ef94ee69c934611185c8cea_thumbnail_900x.webp,4.9,NEW,"[['', 'Cute t-shirt', '4.9'], ['', 'Very comfy and cute! I will say the length is a little shorter than expected. Not a crop top but not really the normal length of a t-shirt either.', '4.9'], ['', 'I ordered a size up on the size chart and i’m glad i did. It’s very stretchy material & the white one isn’t even see through. it’s very comfortable. i love it. the pineapple is always put on very well.', '4.9']]",NEW,
