Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Mom of Boys Graphic Tee,SKU: swtee23200522567,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/1591158016335bb39818b93d3babcaff9b818dc52b_thumbnail_900x.webp,4.9,501 Reviews,"[['', 'Cute hopefully the letters don’t come off in the wash and make sure you size up!', '4.9'], ['', 'It okey ! Thin but ok material', '4.9'], ['', 'Cute!!!', '4.9']]",501 Reviews,
SHEIN Round Neck Tie Dye Tee,SKU: swtee07200423543,US$7.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/13/158933267175daeea2f9a60f588b452332ab79dbf4_thumbnail_900x.webp,4.8,2680 Reviews,"[['', 'Seriously loved this shirt! It’s soft. But it’s also see through and definitely doesn’t fit like an XL. It fits more like a crop which is not what the pictures show.', '4.8'], ['', 'Love!! Super soft and not see through. Not as large as I thought. Definitely order two sizes up if you want an oversized look.', '4.8'], ['', 'Cute, soft, a little opaque but its for the summer so the thinner the better. Looks exactly like picture.', '4.8']]",2680 Reviews,
SHEIN Men Tie Dye Letter & Gesture Graphic Tee,SKU: smtop07190506360,US$13.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/05/06/15571102921338990046_thumbnail_900x1199.webp,None,2439 Reviews,"[['', 'Loved this shirt even though it’s a men’s lol ( I was looking for a t shirt. It’s not a cotton material like a normal t shirt but it’s still soft. It’s not actually the dyed but it’s printed on because the inside is just white. Still good quality and i like it', 'None'], ['', 'fits well and the material is good..soft and comfy', 'None'], ['', 'Love the T-shirt , extremely comfortable', 'None']]",2439 Reviews,
Rose Print Short Sleeve Tee,SKU: swtee23200527063,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/01/15909976584a21cdc80f5457da5d819bd261a0b783_thumbnail_900x.webp,4.9,2062 Reviews,"[['', 'I bought a L as I wanted it slightly baggy and oversized and I’m glad I did, would’ve wanted it a bit bigger but it’s still so comfy and cute on with like a skirt or nice pair of denim shorts in summer :)', '4.9'], ['', 'Reminds me of beauty and the beast! Absolutely adore the shirt', '4.9'], ['', 'Super nice t-shirt! The print is cute and it does not get ruined when washed. The material is soft and the t-shirt fits well!', '4.9']]",2062 Reviews,
Drop Shoulder Letter Graphic Tee,SKU: swtee04200428102,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/11/15918582842d880b2289d2be5d2873694ba3affbb7_thumbnail_900x.webp,4.8,1598 Reviews,"[['', 'Slightly see through but I love it! Going to match it my Jordan Retro 13 Playgrounds', '4.8'], ['', 'So cute! Also ignore the pic and measurements, I need points lol', '4.8'], ['', 'This shirt reminds me of tyler the creator lol it’s so cute. It is kinda see through but i can work around it', '4.8']]",1598 Reviews,
Interesting Graphic Dropped Shoulder Oversized Tee,SKU: swtee04200519584,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/15911511740c8604e555351efc52f81268045536f6_thumbnail_900x.webp,4.8,120 Reviews,"[['', 'Very good quality', '4.8'], ['', 'حلوة خدوا أصغر من مقاسكم برقم', '4.8'], ['', 'so cute but if youre a small I would suggest going extra small cuz its very big', '4.8']]",120 Reviews,
Letter Graphic Tee,SKU: swtee04200407071,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/20/1587385389af9eb470468af2d4d728637929d98d3c_thumbnail_900x.webp,4.8,1012 Reviews,"[['', 'Smaller than expected, thought it would be a little oversised, but it was still pretty !', '4.8'], ['', 'Not satisfied at all !!! See the whole bra !!! Not worth!!! Dont buy', '4.8'], ['', 'see through get a size bigger !!', '4.8']]",1012 Reviews,
Sun & Butterfly Print Longline Tee,SKU: swtee04200619067,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/15927927722d2718780a83aab1b61e6c5d427e60d5_thumbnail_900x.webp,4.9,NEW,"[['', 'soo definitely a cute, simple shirt BUT it runs real big ... I’m a true M and I ordered an XS and the shirt is still way oversized, still a cute oversized tho. But if I ordered any bigger it probably would have been too baggy :/ just a warning. Not see through at all !', '4.9'], ['', 'super cute!!', '4.9'], ['', 'LOVE this shirt. Its a bit big although I did order a small but still super cute! Material is so soft and the print on it is also really nice. When I do purchase oversized tees next time though, Ill make sure to get an XS . (P.S., I got these bc I was also getting the slant pocket button fly cargo pants in the color pink, and they both go really well together. Just thought I should put that out there hehe).', '4.9']]",NEW,
Raglan Sleeve Letter Graphic Crop Tee,SKU: swtee04200528667,US$7.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/02/1591097618a8334d7228c602f9ff8007ad0fe9663d_thumbnail_900x.webp,None,NEW,[],NEW,
SHEIN Colorblock Twist-Front Short Sleeve Tee,SKU: swtee07190614171,US$8.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/07/10/1562746572230304985_thumbnail_900x1199.png,5.0,9999+ Reviews,"[['', 'Size small and it fits great.', '5.0'], ['', 'A little bit baggy, but very pretty shirt. The knot makes the shirt awkward from a side angle and I look 9 months pregnant ngl but overall, good. Not 100% see through but the pink part is sort of if you look real close.', '5.0'], ['', 'very soft and would definitely recommend getting this shirt', '5.0']]",9999+ Reviews,
SHEIN Drop Shoulder Slit Side Longline Tee,SKU: swtee07200220478,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/09/15837423647d5627bc2a84f2f29633f556369e9728_thumbnail_900x.webp,4.9,9999+ Reviews,"[['', 'Love it!!', '4.9'], ['', 'Loved it!', '4.9'], ['', 'Ordered down a size per reviews. Think the sleeves would’ve been too long had I ordered my normal small. Super cute!', '4.9']]",9999+ Reviews,
